City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Diffa,NE,13.3154,12.6113,68.36,15,1,8.23,clear sky
79,Bethel,US,41.3712,-73.414,29.17,56,0,5.75,clear sky
80,Bredasdorp,ZA,-34.5322,20.0403,70.92,73,0,8.05,clear sky
81,College,US,64.8569,-147.8028,-1.71,78,100,3.44,light snow
82,Urma,RU,42.5389,47.2864,14.41,50,63,3.51,broken clouds
83,Fairbanks,US,64.8378,-147.7164,-1.7,77,100,0.0,haze
84,Basco,PH,20.4487,121.9702,72.97,70,100,26.78,overcast clouds
85,Cherskiy,RU,68.75,161.3,-31.16,100,24,1.1,few clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,100,18.41,light snow
87,Barrow,US,71.2906,-156.7887,-23.78,76,40,6.91,haze
88,Butaritari,KI,3.0707,172.7902,81.39,77,34,15.23,light rain
89,Puro,PH,12.4841,123.3827,76.33,87,78,8.84,broken clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,84.16,85,58,5.99,broken clouds
91,Kapaa,US,22.0752,-159.319,74.19,78,75,11.5,light rain
92,Fort Nelson,CA,58.8053,-122.7002,11.79,92,40,8.05,scattered clouds
93,Rio Grande,BR,-32.035,-52.0986,78.91,56,56,13.24,broken clouds
94,Georgetown,MY,5.4112,100.3354,78.73,92,40,0.0,scattered clouds
95,Surgut,RU,61.25,73.4167,-1.91,84,0,11.01,clear sky
96,Durban,ZA,-29.8579,31.0292,74.01,91,35,1.01,moderate rain
97,Tateyama,JP,34.9833,139.8667,34.02,50,98,10.69,overcast clouds
98,Bilibino,RU,68.0546,166.4372,-17.84,77,2,4.25,clear sky
99,Tiarei,PF,-17.5333,-149.3333,86.02,76,52,21.85,light rain
100,Kiama,AU,-34.6833,150.8667,64.38,88,87,1.99,light rain
101,Broome,US,42.2506,-75.833,29.62,63,0,3.0,clear sky
102,Dingle,PH,10.9995,122.6711,73.38,89,63,8.48,broken clouds
103,Kodiak,US,57.79,-152.4072,36.91,70,0,5.75,clear sky
104,Severo-Kurilsk,RU,50.6789,156.125,29.68,83,100,14.97,overcast clouds
105,Abdanan,IR,32.9926,47.4198,45.18,55,0,3.8,clear sky
106,Mastic Beach,US,40.7668,-72.8521,32.22,68,0,3.0,clear sky
107,Pinega,RU,64.7001,43.3936,16.27,93,100,8.79,overcast clouds
108,Victor Harbor,AU,-35.5667,138.6167,77.72,60,0,7.36,clear sky
109,Troitsko-Pechorsk,RU,62.7084,56.1964,13.57,88,100,8.66,overcast clouds
110,Sicamous,CA,50.8331,-118.9856,39.18,98,26,0.6,scattered clouds
111,Aksarka,RU,66.5606,67.7975,-17.27,100,87,6.53,overcast clouds
112,Portland,US,45.5234,-122.6762,55.27,80,100,3.0,fog
113,Mecca,SA,21.4267,39.8261,69.15,39,5,6.04,clear sky
114,Maple Creek,CA,49.9168,-109.4848,45.01,52,100,9.22,overcast clouds
115,Rio Gallegos,AR,-51.6226,-69.2181,77.05,33,40,19.57,scattered clouds
116,Chokurdakh,RU,70.6333,147.9167,-39.37,100,87,2.51,overcast clouds
117,Pudozh,RU,61.8099,36.5345,14.27,93,98,7.76,overcast clouds
118,Vaini,TO,-21.2,-175.2,75.36,94,100,12.66,light rain
119,East London,ZA,-33.0153,27.9116,72.54,88,20,12.66,few clouds
120,Souillac,MU,-20.5167,57.5167,79.36,89,40,11.5,scattered clouds
121,Sakakah,SA,29.9697,40.2064,51.37,51,1,8.41,clear sky
122,Qaanaaq,GL,77.484,-69.3632,-12.6,58,32,8.34,scattered clouds
123,Tiksi,RU,71.6872,128.8694,-14.96,98,100,3.71,overcast clouds
124,Hasaki,JP,35.7333,140.8333,28.8,43,0,24.02,clear sky
125,Santa Vitoria,BR,-18.8386,-50.1214,82.35,67,97,1.5,overcast clouds
126,Zyryanovsk,KZ,49.7386,84.2719,-12.96,96,72,2.46,broken clouds
127,Lata,PT,40.1629,-8.3327,52.81,61,1,3.94,clear sky
128,Hami,CN,42.8,93.45,26.6,32,17,12.95,few clouds
129,Te Anau,NZ,-45.4167,167.7167,41.56,88,15,1.14,few clouds
130,Vila Velha,BR,-20.3297,-40.2925,85.95,80,20,7.0,few clouds
131,Port Blair,IN,11.6667,92.75,78.66,81,12,9.93,few clouds
132,Bud,US,39.447,-86.1758,38.7,56,0,6.93,clear sky
133,Saint Anthony,US,45.0205,-93.218,22.93,74,100,5.01,overcast clouds
134,Dikson,RU,73.5069,80.5464,-20.54,99,94,9.64,overcast clouds
135,Beloha,MG,-25.1667,45.05,74.12,94,100,19.26,moderate rain
136,Palu,ID,-0.8917,119.8707,75.33,91,100,3.2,overcast clouds
137,Hobart,AU,-42.8794,147.3294,53.06,87,5,9.22,clear sky
138,Dawson Creek,CA,55.7666,-120.2362,42.44,45,0,25.32,clear sky
139,Ponta Do Sol,PT,32.6667,-17.1,63.23,53,6,10.54,clear sky
140,Bousso,TD,10.4795,16.7117,79.9,16,79,7.36,broken clouds
141,Pevek,RU,69.7008,170.3133,-24.34,99,33,1.05,scattered clouds
142,Muros,ES,42.7762,-9.0603,52.84,70,47,10.63,scattered clouds
143,Jumla,NP,29.2747,82.1838,34.07,61,94,5.55,overcast clouds
144,Taltal,CL,-25.4,-70.4833,71.62,62,24,5.68,few clouds
145,Colares,PT,38.7992,-9.4469,61.29,49,0,5.01,clear sky
146,Tigre,AR,-34.426,-58.5796,72.19,53,75,13.8,broken clouds
147,Labuan,MY,5.2767,115.2417,80.96,78,20,3.0,few clouds
148,Surt,LY,31.2089,16.5887,61.14,52,4,5.5,clear sky
149,Zhigansk,RU,66.7697,123.3711,-25.56,99,96,6.49,overcast clouds
150,Mount Gambier,AU,-37.8333,140.7667,60.71,67,0,6.91,clear sky
151,Yarada,IN,17.65,83.2667,70.12,83,20,2.3,mist
152,Darhan,MN,49.4867,105.9228,-3.82,92,23,5.82,light snow
153,Atambua,ID,-9.1061,124.8925,74.55,85,45,1.39,scattered clouds
154,Road Town,VG,18.4167,-64.6167,75.29,94,40,10.36,scattered clouds
155,Saldanha,ZA,-33.0117,17.9442,68.05,95,38,8.63,scattered clouds
156,Maragogi,BR,-9.0122,-35.2225,82.74,66,100,14.25,overcast clouds
157,Manggar,ID,-2.8833,108.2667,78.93,86,100,9.06,light rain
158,Barvinkove,UA,48.9097,37.0205,30.83,90,100,7.92,snow
159,Jiaonan,CN,35.8786,119.9753,21.22,42,100,4.81,overcast clouds
160,Mandla,IN,22.6,80.3833,57.63,25,0,2.21,clear sky
161,Altamira,BR,-3.2033,-52.2064,87.89,66,75,3.44,moderate rain
162,Mahebourg,MU,-20.4081,57.7,79.25,89,40,11.5,scattered clouds
163,Sakharovo,RU,56.8995,36.0502,26.47,97,100,6.2,overcast clouds
164,Codrington,AU,-38.2667,141.9667,57.51,77,0,9.08,clear sky
165,The Valley,AI,18.217,-63.0578,77.14,73,75,14.97,broken clouds
166,Keti Bandar,PK,24.1447,67.4497,70.38,66,0,11.27,clear sky
167,Lebanon,US,36.2081,-86.2911,51.17,51,0,13.8,clear sky
168,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,12.66,broken clouds
169,Ambilobe,MG,-13.2,49.05,75.56,92,100,3.13,light rain
170,Ugoofaaru,MV,5.6667,73.0,81.19,67,68,10.2,broken clouds
171,Marsabit,KE,2.3284,37.9899,75.33,30,55,6.58,broken clouds
172,Santiago Del Estero,AR,-27.7951,-64.2615,84.47,31,4,6.24,clear sky
173,Luanda,AO,-8.8368,13.2343,78.8,73,20,10.36,few clouds
174,Faanui,PF,-16.4833,-151.75,81.23,75,100,22.88,overcast clouds
175,Touros,BR,-5.1989,-35.4608,88.7,63,1,13.51,clear sky
176,Beidao,CN,34.5686,105.8933,22.37,87,100,2.62,overcast clouds
177,Beisfjord,NO,68.3751,17.5988,30.25,82,100,9.42,overcast clouds
178,Vryburg,ZA,-26.9566,24.7284,73.78,49,98,5.03,overcast clouds
179,Esperance,AU,-33.8667,121.9,62.44,71,100,23.47,overcast clouds
180,Hay River,CA,60.8156,-115.7999,17.56,86,100,12.66,snow
181,Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,18.41,scattered clouds
182,Upata,VE,8.0086,-62.3989,82.62,62,63,5.48,broken clouds
183,Cabo San Lucas,MX,22.8909,-109.9124,76.17,66,0,5.01,clear sky
184,Ilulissat,GL,69.2167,-51.1,-1.14,92,100,2.19,overcast clouds
185,Kerchevskiy,RU,59.946,56.2884,15.6,87,100,7.47,overcast clouds
186,Umm Lajj,SA,25.0213,37.2685,67.28,49,0,19.57,clear sky
187,Gamba,GA,-2.65,10.0,77.59,84,64,5.5,broken clouds
188,Sabla,NG,12.7525,4.7077,77.85,14,0,9.48,clear sky
189,Nome,US,64.5011,-165.4064,-11.29,88,0,9.15,clear sky
190,Nikel,RU,69.4128,30.222,19.58,95,10,7.43,clear sky
191,Mingaora,PK,34.7758,72.3625,44.65,84,100,0.87,overcast clouds
192,Ostrovnoy,RU,68.0531,39.5131,13.96,86,98,22.37,overcast clouds
193,Kavieng,PG,-2.5744,150.7967,81.16,77,82,3.47,broken clouds
194,Olenegorsk,RU,68.15,33.3,0.37,98,65,4.0,broken clouds
195,Severo-Yeniseyskiy,RU,60.3725,93.0408,6.53,98,100,0.65,overcast clouds
196,Quirinopolis,BR,-18.4483,-50.4517,83.17,66,98,1.03,overcast clouds
197,Male,MV,4.1748,73.5089,82.35,74,75,9.22,broken clouds
198,Da Lat,VN,11.9465,108.4419,56.03,98,100,2.73,overcast clouds
199,Smithers,CA,54.7804,-127.1743,35.92,64,40,3.44,scattered clouds
200,Kudahuvadhoo,MV,2.6708,72.8944,81.88,64,30,10.56,scattered clouds
201,Vardo,NO,70.3705,31.1107,23.2,78,74,21.72,broken clouds
202,Miraflores,MX,19.2167,-98.8083,68.65,35,30,3.76,scattered clouds
203,Tessalit,ML,20.1986,1.0114,70.7,10,0,6.76,clear sky
204,Vagay,RU,57.9375,69.0217,7.05,93,100,4.83,overcast clouds
205,San Francisco,US,37.7749,-122.4194,64.35,66,20,1.01,few clouds
